date,time,Open,High,Low,Close,Volume,rsi14,sma20,sma50,sma200,ADX,CCI,MACD
30-03-2006,07:00:00,0.82938,0.83009,0.82845,0.82892,48.9984,55.416359616801586,0.8281345,0.8266174,0.8312339,45.03041434327561,48.64001162072967,0.001130098
30-03-2006,08:00:00,0.82855,0.83032,0.82756,0.8292,47.859,53.88719512195122,0.828351,0.82663,0.8311699499999999,41.50647031699593,37.13172922988813,0.001062041
30-03-2006,09:00:00,0.82892,0.83115,0.82867,0.82995,50.3662,54.545454545454234,0.8285859999999999,0.8266673999999999,0.83111195,37.477572514333986,74.61856601675171,0.001056447
30-03-2006,10:00:00,0.83038,0.83144,0.82996,0.83047,48.405,56.458635703918624,0.828847,0.8266996,0.83105715,35.04091289918933,106.16418682139593,0.001081506
30-03-2006,11:00:00,0.83047,0.83164,0.83009,0.83126,52.3064,67.21568627450962,0.8290744999999999,0.8267328,0.8310086,36.57468887649168,120.07200901118433,0.001151834
30-03-2006,12:00:00,0.83103,0.83169,0.82999,0.83017,53.0545,58.536585365853526,0.8292550000000001,0.826785,0.83095835,38.00093165006781,91.39252695413727,0.001106856
30-03-2006,13:00:00,0.8304,0.83071,0.82564,0.82598,59.669,46.12523248605096,0.8291815,0.8267302,0.8308866500000001,38.02156869694376,-119.3663283,0.000724759
30-03-2006,14:00:00,0.82578,0.82862,0.82552,0.82766,56.7421,40.84411164057159,0.8291555,0.8267064000000001,0.8308530000000001,38.93805630403851,-126.0799238,0.000551152
30-03-2006,15:00:00,0.82787,0.82942,0.82734,0.82802,60.4249,45.29914529914536,0.8291195,0.8267204000000001,0.8308097499999999,38.39999028050103,-58.84468135,0.000437573
30-03-2006,16:00:00,0.8279,0.83028,0.82736,0.82961,47.545,46.02951510892453,0.8291655,0.8267399999999999,0.8307749,36.73261110735041,-9.017152311,0.000470437
30-03-2006,17:00:00,0.82938,0.83018,0.82803,0.83005,52.2624,50.94752186588895,0.8293245,0.8268059999999999,0.83073975,35.07856198774517,7.225222595238526,0.000525924
30-03-2006,18:00:00,0.82955,0.83036,0.82899,0.8294,38.8033,46.48295866569965,0.8293944999999999,0.8268353999999999,0.8307000999999999,32.70504197351524,14.062878849116856,0.000511552
30-03-2006,19:00:00,0.82935,0.83065,0.82878,0.82907,37.0707,45.98278335724525,0.8294865,0.8268526,0.83065325,31.00370861866853,-1.44241819,0.000468137
30-03-2006,20:00:00,0.82892,0.82921,0.8277,0.82863,46.264,47.90732436472343,0.8294005,0.8268791999999999,0.83060605,30.243854870223068,-83.99377715,0.000393688
30-03-2006,21:00:00,0.82901,0.8294,0.82725,0.82767,45.1346,45.55792466240231,0.829317,0.826939,0.8305421,29.952817770021905,-103.3718072,0.000254291
30-03-2006,22:00:00,0.82762,0.82906,0.82671,0.82674,24.9844,41.644021739130224,0.8291169999999999,0.8269894000000001,0.8304684499999999,31.18807022452909,-130.5156634,6.799078923913626e-05
30-03-2006,23:00:00,0.82668,0.82835,0.82668,0.82818,38.3395,44.25697598961726,0.8290365,0.8270627999999999,0.83040475,33.279022884186695,-100.2299505,3.6126250268941895e-05
31-03-2006,00:00:00,0.82765,0.831,0.82609,0.83011,53.9001,48.92984542211643,0.8290235000000001,0.8271630000000001,0.83036045,32.58723545070384,-1.480366328,0.00016471
31-03-2006,01:00:00,0.8298,0.83166,0.82956,0.83046,39.0041,47.557997557997446,0.8290369999999999,0.8272606,0.8303162500000001,29.904835999517037,107.96940537872062,0.000291495
31-03-2006,02:00:00,0.83034,0.83104,0.82962,0.83056,30.8504,51.26705653021446,0.8291055,0.8273989999999999,0.8302873,27.32258017160346,89.98165572,0.000395483
31-03-2006,03:00:00,0.83066,0.83111,0.8304,0.83111,26.4164,71.82978723404275,0.8292149999999999,0.8275954,0.8302634000000001,29.654832956637726,107.19358161219117,0.000516323
31-03-2006,04:00:00,0.83089,0.83125,0.8298,0.83048,30.2835,63.177570093458236,0.829279,0.827786,0.8302369500000001,28.63896621616143,75.29055602209526,0.000554858
31-03-2006,05:00:00,0.83039,0.83069,0.82908,0.83069,36.3766,62.65402843601931,0.829316,0.8279704,0.8302161000000001,27.23576450907446,51.887107291209915,0.000595478
31-03-2006,06:00:00,0.83074,0.83195,0.82967,0.83069,51.2162,56.02678571428619,0.8293269999999999,0.8281602000000001,0.8301989499999999,26.585800911270628,88.88684762474324,0.000620517
31-03-2006,07:00:00,0.83053,0.83214,0.83021,0.83139,44.6765,57.266811279826584,0.8293335000000001,0.8283588000000001,0.8301836499999999,26.071183392023165,116.11156569788412,0.000688903
31-03-2006,08:00:00,0.83123,0.83173,0.82959,0.83013,54.8933,53.71312309257384,0.8293315,0.828506,0.8301555,25.02752353661709,70.63412255843117,0.000634119
31-03-2006,09:00:00,0.82957,0.83009,0.82747,0.82853,61.4534,47.567567567567615,0.829459,0.8285826000000001,0.8301194000000001,23.856416501017254,-44.9011892,0.000456335
